URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/all-languages,5.0.0,active,"2.16.840.1.113883.4.642.3.21",AllLanguages,All Languages,"This value set includes all possible codes from BCP-47 (see http://tools.ietf.org/html/bcp47)","StructureDefinition/TradeItem,StructureDefinition/GenericProduct,StructureDefinition/RegulatedTradeItem","hl7.terminology.r4"
http://hl7.org/fhir/ValueSet/inventoryitem-nametype,5.0.0,draft,,InventoryItemStatusCodes,InventoryItem Name Typess,"InventoryItem Name Types","StructureDefinition/TradeItem,StructureDefinition/GenericProduct,StructureDefinition/RegulatedTradeItem","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/inventoryitem-status,5.0.0,draft,,InventoryItemStatusCodes,InventoryItem Status Codes,"InventoryItem Status Codes","StructureDefinition/TradeItem,StructureDefinition/GenericProduct,StructureDefinition/RegulatedTradeItem","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/languages,5.0.0,active,"2.16.840.1.113883.4.642.3.891,2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (see http://tools.ietf.org/html/bcp47)","StructureDefinition/TradeItem,StructureDefinition/GenericProduct,StructureDefinition/RegulatedTradeItem","hl7.terminology.r4"
http://smart.who.int/pcmt/ValueSet/AttributeType,0.1.0,draft,,AttributeType,AttributeType for a Product,"Product status","StructureDefinition/Product","Internal"
http://smart.who.int/pcmt/ValueSet/NameType,0.1.0,draft,,NameType,Name Type for a Product,"Product name type","StructureDefinition/Product","hl7.fhir.r5.core"
http://smart.who.int/pcmt/ValueSet/ProductRelationship,0.1.0,draft,,ProductRelationship,Product Relationships,"Product relationship value set","StructureDefinition/Product","Internal"
http://smart.who.int/pcmt/ValueSet/RegulationType,0.1.0,draft,,RegulationType,Regulation Type for a Regulated Product,"Regulated Product Regulation type","StructureDefinition/ProductAuthorization","Other"
http://smart.who.int/pcmt/ValueSet/Status,0.1.0,draft,,Status,Status for a Product,"Product status","StructureDefinition/ProductAuthorization,StructureDefinition/Product","Internal"
